AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,0,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,0.184,0,0.184,,0.193,--,--,--,--,0.197,0,0,0,,0.195,0,0,0,--,193.67,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.008,--,--,--,--,0.00097,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,,Ameriprise ,N/A,Premier Portfolio Services,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,1315,233.55,5.89,14.67,,--,235.61,7.16,13.04,-5.88,--,258.07,23.36,9.25,14.11,--,275.77,23.23,7.77,15.46,--,294.19,17.92,6.5,11.42,--,300.18,9.72,8.77,0.95,--,300.82,5.11,10.94,-5.83,,293.52,7.009,47.67,-40.661,--,270.75,6.58,12.86,-6.28,--,
Anchor Capital Advisors LLC,,Ameriprise ,N/A,Premier Portfolio Services,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,196,49.56,8.47,0.98,,--,49.31,1.7,2.93,-1.23,--,50.5,2.2,0.952,1.248,--,51.32,1.42,2.61,-1.19,--,53.08,1.34,2.65,-1.31,--,52.41,0.868,1.66,-0.792,--,51.28,0.404,1.4,-0.996,,50.64,0.303,8.22,-7.917,--,46.79,0.594,3.16,-2.566,--,
Anchor Capital Advisors LLC,,Ed Jones,N/A,Advisory Solutions UMA,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,0,30.67,0,8.36,,--,29.98,0,2.56,-2.56,--,21.15,0,9.02,-9.02,--,17.33,0,3.66,-3.66,--,8.35,0,9.2,-9.2,--,3.57,0,4.8,-4.8,--,0,0,0,0,,0,0,0,0,--,0,0,0,0,--,
Anchor Capital Advisors LLC,,Ed Jones,N/A,Advisory Solutions UMA,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,313,56.03,0,14.88,,--,45.24,0,12.43,-12.43,--,37.5,0,7.87,-7.87,--,31.4,0,7.19,-7.19,--,20.67,0,11.86,-11.86,,13.16,0,7.16,-7.16,--,39.26,0,0,0,,47.43,43.59,0.634,42.956,--,49.04,0.595,0.251,0.344,--,
Anchor Capital Advisors LLC,,Ed Jones,N/A,Advisory Solutions UMA,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,288,35.64,0.1,5.75,,--,30.75,0,6.05,-6.05,--,20.4,0,7.84,-7.84,--,17.47,0,1.93,-1.93,--,11.73,0,6.27,-6.27,--,8.7,0,3.12,-3.12,--,43.05,0,0,0,,42.56,50.17,0.164,50.006,--,42.83,1.47,0.835,0.635,--,
Anchor Capital Advisors LLC,Envestnet,Envestnet,N/A,Envestnet UMA Program,All Cap ,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap ,312,62.28,0,0,,--,64.47,0,0,0,--,65.69,0,0,0,--,72.14,0,0,0,--,77.68,0,0,0,--,81.07,0,0,0,--,85.94,0,0,0,,89.32,0,0,0,--,89.44,0,0,0,--,
Anchor Capital Advisors LLC,Envestnet,Envestnet,N/A,Envestnet UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,188,42.02,1.19,1.08,,--,48.08,4.34,0.61,3.73,--,49.9,1.34,0.971,-2.311,--,49.66,1.08,0.962,0.118,--,59.89,9.21,0.662,8.548,--,62.39,2.73,1.17,1.56,--,62.51,3.1,5.33,-2.23,,60.65,1.9,4.76,-2.86,--,54.39,0,4.98,-4.98,--,
Anchor Capital Advisors LLC,Envestnet,Envestnet,N/A,Envestnet UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,13,4.02,0,0,,--,4.09,0,0,0,--,4.7,0,0,0,--,6.73,0,0,0,--,7.03,0,0,0,--,5.73,0,0,0,--,6.12,0,0,0,,6.26,0,0,0,--,5.78,0,0,0,--,
Anchor Capital Advisors LLC,Envestnet,Envestnet,N/A,Envestnet UMA Program,Midcap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Midcap,316,23.27,0,0,,--,73.07,0,0,0,--,78.73,0,0,0,--,88.86,0,0,0,--,93.3,0,0,0,--,97.68,0,0,0,--,108.54,0,0,0,,112.86,0,0,0,--,110.47,0,0,0,--,
Anchor Capital Advisors LLC,Envestnet,Envestnet,N/A,Envestnet UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,0,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,--,0,0,0,--,--,0,0,0,,0,0,0,0,--,0,0,0,0,--,
Anchor Capital Advisors LLC,Envestnet,Envestnet,N/A,Envestnet UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,144,2.11,0,0,,--,2.67,0,0,0,--,3.94,0,0,0,--,6.61,0,0,0,--,12.03,0,0,0,--,18.11,0,0,0,--,19.25,0,0,0,,16.32,0,0,0,--,15.47,0,0,0,--,
Anchor Capital Advisors LLC,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,0,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,--,0,0,0,--,0,0,0,0,,0,0,0,0,--,0,0,0,0,--,
Anchor Capital Advisors LLC,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,8,0.35,0,0,,--,0.38,0,0,0,--,0.392,0,0,0,--,1.12,0,0,0,--,1.26,0,0,0,--,1.28,0,0,0,--,1.14,0,0,0,,1.22,0,0,0,--,6.81,0,0,0,--,
Anchor Capital Advisors LLC,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,2,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0.66,0.66,0,0,--,0.658,0,0,0,,0,0,0,0,--,0.631,0,0,0,--,
Anchor Capital Advisors LLC,FolioDynamix,FolioDynamix,N/A,Unified Overlay Management Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,0,0,0,0,,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,--,0,0,0,--,0,0,0,0,,0,0,0,0,--,0,0,0,0,--,
Anchor Capital Advisors LLC,Schwab,Schwab,N/A,Managed Account Access,All Cap,F00000JVJ0,Traditional,Large Value,N/A,All Cap,4,0.39,3.93,0,,--,0.414,0,0,0,--,1.34,0.913,0,0.913,--,1.37,0,0,0,--,1.42,0,0,0,--,1.44,0,0,0,--,1.74,0.244,0,0.244,,1.8,0,0,0,--,1.82,0,0,0,--,
Anchor Capital Advisors LLC,Schwab,Schwab,N/A,Managed Account Access,Balanced,F00000J8TH,Traditional,Allocation,N/A,Balanced,24,0.92,0,0.142,,--,0.954,0,0,0,--,0.892,0,0.077,-0.077,--,0.893,0,0,0,--,0.917,0,0,0,--,0.93,0,0,0,--,0.955,0,0,0,,2.49,1.28,0.224,1.056,--,5.76,2.59,0.109,2.481,--,
Anchor Capital Advisors LLC,Schwab,Schwab,N/A,Managed Account Access,Mid Cap,F00000JVJ1,Traditional,Mid-Cap Value,N/A,Mid Cap,21,4.28,0.143,0,,--,4.41,0,0,0,--,4.51,0,0.249,-0.249,--,4.71,0,0,0,--,4.92,0,0,0,--,4.76,0,0,0,--,5.36,0.296,0,0.296,,6.91,1.69,0,1.69,--,6.7,0,0.121,-0.121,--,
Anchor Capital Advisors LLC,Schwab,Schwab,N/A,Managed Account Access,Small Cap,F00000JVRH,Traditional,Small Blend,N/A,Small Cap,2,1.4,0,0,,--,1.41,0,0,0,--,1.51,0.734,0.714,0.02,--,1.4,0,0,0,--,1.39,0,0,0,--,1.43,0,0,0,--,1.48,0,0,0,,1.46,0,0,0,--,1.44,0,0,0,--,
Anchor Capital Advisors LLC,Schwab,Schwab,N/A,MarketPlace,Combination of stragies for each account,,Dual Contract,--,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,--,,,,,--,
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,  
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,SMArtX,SMArtX,N/A,SmartXchange UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,Natixis,Natixis,N/A,Natixis UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
,Natixis,Natixis,N/A,Natixis UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
,Natixis,Natixis,N/A,Natixis UMA Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
,Natixis,Natixis,N/A,Natixis UMA Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
,Natixis,Natixis,N/A,Natixis UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
,Natixis,Natixis,N/A,Natixis UMA Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
,Natixis,Natixis,N/A,Natixis UMA Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
,Natixis,Natixis,N/A,Natixis UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Anchor Capital Advisors LLC,,Janney,N/A,Money Management Services,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,103,19.16,0.38,0.66,-0.28,--,19.59,0.525,0.913,-0.388,--,26.37,6.07,0,6.07,--,28.98,1.77,1.21,0.56,--,31.69,1.81,0.256,1.554,--,33.7,2.29,0.706,1.584,--,35.63,0.744,0,0.744,,37.17,0.965,0.575,0.39,--,35.14,0.267,0,0.267,--,
Anchor Capital Advisors LLC,,Janney,N/A,Money Management Services,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,385,39.87,2.35,0.192,2.158,--,44.28,3.5,1.02,2.48,--,58,14.4,1.54,12.86,--,66.16,11.9,3.899,8.001,--,78.79,12.06,1.48,10.58,--,83.55,5.64,1.52,4.12,--,92.19,9.37,2.38,6.99,,91.7,5.93,7.73,-1.8,--,92.42,9.26,6.14,3.12,--,
Anchor Capital Advisors LLC,,Janney,N/A,Money Management Services,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,5,1,0,1.05,-1.05,--,1.01,0,0,0,--,1.15,0,0,0,--,1.26,0,0,0,--,1.57,0.245,0,0.245,--,1.13,0,0.424,-0.424,--,1.04,0,0.107,-0.107,,1.04,0,0,0,--,0.956,0,0,0,--,
Anchor Capital Advisors LLC,,Janney,N/A,Money Management Services,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,167,60.64,0.429,0.661,-0.232,--,58.89,0.45,3.67,-3.22,--,63.73,4.77,1.14,3.63,--,65.01,2.67,3.54,-0.87,--,68.46,0.973,0.316,0.657,--,69.71,1.34,0.959,0.381,--,71.14,1.47,1,0.47,,73.06,1.29,1.38,-0.09,--,69.23,0.789,1.19,-0.401,--,
Anchor Capital Advisors LLC,,Janney,N/A,Money Management Services,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,15,3.17,0,0,0,--,3.35,0.1,0,0.1,--,3.55,0.255,0.316,-0.061,--,3.95,0.409,0.49,-0.081,--,3.92,0,0,0,--,4.71,0.695,0,0.695,--,4.88,0,0,0,,4.62,0,0.108,-0.108,--,4.18,0,0,0,--,
